        id           X            Y       Z  Nbrs_Moules id_moules
 221953795  277898.000  5211014.000  14.620            0       184
 221954304  277895.000  5211015.000  14.590            0       184
 221954305  277896.000  5211015.000  14.591            0       184
 221954306  277897.000  5211015.000  14.592            0       184
 221954307  277898.000  5211015.000  14.541            0       184
 221954818  277897.000  5211016.000  14.576            0       184
 221954819  277898.000  5211016.000  14.552            0       184
 221952260  277899.000  5211011.000  14.591            0       184
 221952261  277900.000  5211011.000  14.572            0       184
 221952262  277901.000  5211011.000  14.458            0       184
 221952772  277899.000  5211012.000  14.596            0       184
 221952773  277900.000  5211012.000  14.584            0       184
 221952774  277901.000  5211012.000  14.498            0       184
 221953284  277899.000  5211013.000  14.596            0       184
 221953285  277900.000  5211013.000  14.550            0       184
 221953286  277901.000  5211013.000  14.581            0       184
 221953796  277899.000  5211014.000  14.591            0       184
 221953797  277900.000  5211014.000  14.599            0       184
 221953798  277901.000  5211014.000  14.542            0       184
 221952263  277902.000  5211011.000  14.553            0       184
 221952775  277902.000  5211012.000  14.500            0       184
 221953287  277902.000  5211013.000  14.552            0       184
 221954308  277899.000  5211015.000  14.583            0       184
 221954309  277900.000  5211015.000  14.579            0       184
 221954820  277899.000  5211016.000  14.380            0       184
 105713896  252006.000  5188281.000  19.282            0       186
 105714829  252006.000  5188283.000  19.255            0       186
 105715292  252005.000  5188284.000  19.053            0       186
 105715293  252006.000  5188284.000  19.232            0       186
 105715754  252005.000  5188285.000  19.030            0       186
 105715755  252005.921  5188284.777  19.200            0       186
 105716215  252005.000  5188286.000  19.001            0       186
 105716216  252006.000  5188286.000  19.153            0       186
 105713429  252008.000  5188280.000  19.658            0       186
 105713897  252007.000  5188281.000  19.482            0       186
 105713898  252007.631  5188280.647  19.600            0       186
 105712960  252009.141  5188279.337  19.800            0       186
 105713430  252009.000  5188280.000  19.772            0       186
 105713431  252010.000  5188280.000  19.874            0       186
 105713899  252009.000  5188281.000  19.773            0       186
 105713900  252010.465  5188280.853  19.900            0       186
 105713432  252011.000  5188280.000  19.977            0       186
 105713901  252011.000  5188281.000  19.930            0       186
 105713902  252012.000  5188281.000  20.004            0       186
 105713903  252013.395  5188281.105  20.100            0       186
 105714363  252006.121  5188281.957  19.300            0       186
 105714364  252007.000  5188282.000  19.456            0       186
 105714365  252008.000  5188282.000  19.635            0       186
 105714830  252007.431  5188283.467  19.500            0       186
