Latitude;Longitude;Total;Classe;Date;source
46.88315;-71.14292;14;Commun;2013-01-01;LakestrugeonRichelieu
46.83618;-71.19201;2;Inexistant;2014-01-01;LakestrugeonRichelieu
46.73927;-71.27312;4;Rare;2010-01-01;LakestrugeonRichelieu
46.250833;-72.665556;3;Inexistant;1972-07-19;LakestrugeonRichelieu
45.863056;-73.15;2;Inexistant;2009-06-16;LakestrugeonRichelieu
46.99972;-70.7625;6;Rare;2005-01-01;LakestrugeonRichelieu
46.67299;-71.88876;2;Inexistant;2006-01-01;LakestrugeonRichelieu
46.741471;-71.294771;1;Inexistant;2009-01-01;LakestrugeonRichelieu
46.73927;-71.27312;1;Inexistant;2009-01-01;LakestrugeonRichelieu
46.73927;-71.27312;2;Inexistant;2010-01-01;LakestrugeonRichelieu
46.84939;-70.9794;0;Inexistant;2012-01-01;LakestrugeonRichelieu
46.87727;-71.14845;0;Inexistant;2013-01-01;LakestrugeonRichelieu
46.84037018;-71.19270325;4;Rare;2013-01-01;LakestrugeonRichelieu
46.921111;-70.810278;0;Inexistant;1999-09-16;LakestrugeonRichelieu
46.67954;-71.88232;28;Commun;2006-01-01;LakestrugeonRichelieu
46.65155;-71.73981;3;Inexistant;2006-01-01;LakestrugeonRichelieu
46.88685;-71.14499;0;Inexistant;2012-01-01;LakestrugeonRichelieu
46.367855;-72.478877;1;Inexistant;2012-01-01;LakestrugeonRichelieu
46.39731;-72.44432;1;Inexistant;2012-01-01;LakestrugeonRichelieu
46.64973;-71.79095;0;Inexistant;2013-01-01;LakestrugeonRichelieu
46.82455;-71.20467;0;Inexistant;2013-01-01;LakestrugeonRichelieu
46.74084;-71.27445;13;Commun;2013-01-01;LakestrugeonRichelieu
46.87514;-71.14188;11;Commun;2013-01-01;LakestrugeonRichelieu
46.2774;-72.62063;0;Inexistant;2014-01-01;LakestrugeonRichelieu
46.312778;-72.55;0;Inexistant;1986-06-23;LakestrugeonRichelieu
46.66965;-71.74744;1;Inexistant;1995-01-01;LakestrugeonRichelieu
46.428333;-72.368611;1;Inexistant;1996-01-01;LakestrugeonRichelieu
46.741471;-71.294771;18;Commun;1996-01-01;LakestrugeonRichelieu
46.73927;-71.27312;2;Inexistant;2008-01-01;LakestrugeonRichelieu
46.73927;-71.27312;23;Commun;2009-01-01;LakestrugeonRichelieu
46.73927;-71.27312;40;Commun;2010-01-01;LakestrugeonRichelieu
46.73927;-71.27312;2;Inexistant;2011-01-01;LakestrugeonRichelieu
46.73927;-71.27312;1;Inexistant;2011-01-01;LakestrugeonRichelieu
46.88791;-71.11752;0;Inexistant;2012-01-01;LakestrugeonRichelieu
46.458331;-72.260141;1;Inexistant;2012-01-01;LakestrugeonRichelieu
46.92317;-70.78863;0;Inexistant;2013-01-01;LakestrugeonRichelieu
